#====================
kp=0.1000
#n_loop, t_ms, des_pos, e, diff, position
144,787.70,3380,167,19,3213
145,793.28,3385,170,17,3215
146,798.84,3390,175,19,3215
147,804.41,3395,180,19,3215
148,809.98,3400,185,20,3215
149,815.54,3405,182,17,3223
150,821.11,3411,187,20,3224
151,826.68,3416,195,21,3221
152,832.25,3421,197,20,3224
153,837.81,3426,205,22,3221
154,843.38,3432,208,21,3224
155,848.95,3437,213,22,3224
156,854.52,3442,218,23,3224
157,860.09,3448,224,24,3224
158,865.65,3453,240,28,3213
159,871.23,3459,244,25,3215
160,876.80,3464,252,27,3212
161,882.36,3469,254,26,3215
162,887.93,3475,260,27,3215
163,893.49,3480,265,28,3215
164,899.07,3486,271,28,3215
165,904.63,3491,276,29,3215
166,910.21,3497,282,30,3215
167,915.78,3502,290,31,3212
168,921.36,3508,293,30,3215
169,926.93,3514,301,32,3213
170,932.51,3519,304,31,3215
171,938.08,3525,301,29,3224
172,943.64,3530,315,35,3215
173,949.22,3536,321,33,3215
174,954.79,3541,331,36,3210
175,960.36,3547,323,29,3224
176,965.93,3553,332,35,3221
177,971.52,3558,334,34,3224
178,977.09,3564,341,36,3223
179,982.67,3570,346,36,3224
180,988.26,3575,351,36,3224
181,993.83,3581,348,33,3233
182,999.42,3587,345,33,3242
183,1004.99,3592,342,33,3250
184,1010.60,3598,331,29,3267
185,1016.22,3604,322,29,3282
186,1021.86,3610,298,22,3312
187,1027.48,3615,281,23,3334
188,1033.10,3621,267,22,3354
189,1038.70,3627,262,24,3365
190,1044.35,3632,260,25,3372
191,1050.00,3638,261,26,3377
192,1055.64,3644,260,25,3384
193,1061.30,3650,265,28,3385
194,1066.92,3655,265,26,3390
195,1072.52,3661,266,26,3395
196,1078.18,3667,267,27,3400
197,1083.84,3672,266,26,3406
198,1089.49,3678,267,27,3411
199,1095.14,3684,257,22,3427
200,1100.80,3689,240,18,3449
201,1106.43,3695,228,19,3467
202,1112.08,3701,219,19,3482
203,1117.72,3706,221,22,3485
204,1123.37,3712,226,24,3486
205,1128.98,3717,227,23,3490
206,1134.63,3723,227,22,3496
207,1140.23,3729,229,23,3500
208,1145.89,3734,238,26,3496
209,1151.49,3740,240,24,3500
210,1157.15,3745,249,27,3496
211,1162.76,3750,255,27,3495
212,1168.41,3756,266,29,3490
213,1174.01,3761,261,24,3500
214,1179.67,3767,271,30,3496
215,1185.28,3772,276,29,3496
216,1190.94,3777,281,29,3496
217,1196.54,3783,288,30,3495
218,1202.20,3788,292,30,3496
219,1207.80,3793,293,29,3500
220,1213.46,3798,302,32,3496
221,1219.06,3803,310,33,3493
222,1224.72,3808,313,32,3495
223,1230.32,3814,318,33,3496
224,1235.98,3819,324,34,3495
225,1241.59,3824,328,34,3496
226,1247.25,3829,334,35,3495
227,1252.86,3833,337,34,3496
228,1258.48,3838,342,35,3496
229,1264.09,3843,347,36,3496
230,1269.74,3848,353,37,3495
231,1275.35,3853,348,33,3505
232,1281.02,3857,346,34,3511
233,1286.62,3862,346,34,3516
234,1292.30,3867,340,32,3527
235,1297.90,3871,339,33,3532
236,1303.53,3876,333,31,3543
237,1309.14,3880,320,28,3560
238,1314.77,3884,315,30,3569
239,1320.38,3889,306,27,3583
240,1326.01,3893,297,27,3596
241,1331.64,3897,289,26,3608
242,1337.27,3901,284,26,3617
243,1342.89,3905,274,24,3631
244,1348.52,3909,271,26,3638
245,1354.14,3913,259,22,3654
246,1359.77,3917,199,1,3718
247,1365.36,3921,194,17,3727
248,1370.99,3924,189,17,3735
249,1376.62,3928,191,19,3737
250,1382.25,3932,187,17,3745
251,1387.88,3935,193,21,3742
252,1393.51,3939,195,20,3744
253,1399.13,3942,200,21,3742
254,1404.77,3945,192,16,3753
255,1410.40,3948,115,-11,3833
256,1416.03,3952,189,41,3763
257,1421.67,3955,113,-11,3842
258,1427.30,3958,106,8,3852
259,1432.89,3960,106,10,3854
260,1438.50,3963,191,44,3772
261,1444.12,3966,112,-12,3854
262,1449.76,3968,116,12,3852
263,1455.39,3971,117,12,3854
264,1461.02,3973,201,45,3772
265,1466.64,3976,122,-11,3854
266,1472.28,3978,126,13,3852
267,1477.91,3980,126,12,3854
268,1483.53,3982,210,46,3772
269,1489.15,3984,130,-11,3854
270,1494.79,3986,134,14,3852
271,1500.42,3987,133,13,3854
272,1506.06,3989,217,46,3772
273,1511.68,3990,136,-10,3854
274,1517.32,3992,140,15,3852
275,1522.96,3993,139,13,3854
276,1528.59,3994,221,46,3773
277,1534.22,3995,130,-14,3865
278,1539.86,3996,132,13,3864
279,1545.50,3997,132,13,3865
280,1551.12,3998,215,46,3783
281,1556.75,3998,133,-11,3865
282,1562.39,3999,135,14,3864
283,1568.03,3999,134,13,3865
284,1573.66,3999,217,46,3782
285,1579.29,3999,134,-11,3865
286,1584.93,3999,135,13,3864
287,1590.58,3999,134,13,3865
288,1596.22,3999,217,46,3782
289,1601.86,3999,134,-11,3865
290,1607.51,3998,135,13,3863
291,1613.16,3997,133,12,3864
292,1618.80,3997,215,46,3782
293,1624.44,3996,131,-12,3865
294,1630.10,3995,132,13,3863
295,1635.74,3993,209,44,3784
296,1641.38,3992,209,20,3783
297,1647.01,3991,207,20,3784
298,1652.65,3989,206,20,3783
299,1658.29,3987,203,19,3784
300,1663.93,3985,202,19,3783
301,1669.57,3983,199,19,3784
302,1675.22,3981,199,19,3782
303,1680.85,3979,195,18,3784
304,1686.49,3976,193,18,3783
305,1692.13,3974,191,18,3783
306,1697.78,3971,188,17,3783
307,1703.41,3968,184,17,3784
308,1709.06,3965,183,18,3782
309,1714.69,3961,177,15,3784
310,1720.33,3958,176,17,3782
311,1725.98,3955,171,15,3784
312,1731.62,3951,169,16,3782
313,1737.26,3947,163,14,3784
314,1742.90,3943,160,15,3783
315,1748.54,3939,155,14,3784
316,1754.18,3934,152,14,3782
317,1759.82,3930,146,12,3784
318,1765.47,3925,140,12,3785
319,1771.11,3921,137,12,3784
320,1776.76,3916,132,11,3784
321,1782.40,3910,126,10,3784
322,1788.04,3905,126,12,3779
323,1793.66,3900,116,8,3784
324,1799.26,3894,110,9,3784
325,1804.85,3888,105,9,3783
326,1810.44,3882,100,8,3782
327,1816.03,3876,93,7,3783
328,1821.57,3870,88,7,3782
329,1827.10,3864,-1,-26,3865
330,1832.66,3857,-6,-2,3863
331,1838.18,3851,67,28,3784
332,1843.79,3844,60,3,3784
333,1849.33,3837,55,4,3782
334,1854.86,3830,-35,-30,3865
335,1860.46,3823,-40,-5,3863
336,1866.02,3815,-50,-8,3865
337,1871.58,3807,-56,-7,3863
338,1877.14,3800,-65,-9,3865
339,1882.70,3792,8,22,3784
340,1888.26,3784,2,-1,3782
341,1893.77,3775,-90,-36,3865
342,1899.37,3767,-96,-11,3863
343,1904.98,3758,-107,-14,3865
344,1910.64,3749,-116,-14,3865
345,1916.32,3740,-126,-15,3866
346,1921.99,3731,-134,-15,3865
347,1927.65,3722,-144,-17,3866
348,1933.32,3712,-151,-17,3863
349,1939.00,3702,-176,-25,3878
350,1944.65,3692,-186,-21,3878
351,1950.32,3682,-184,-17,3866
352,1956.00,3672,-195,-22,3867
353,1961.62,3662,-216,-27,3878
354,1967.30,3651,-156,2,3807
355,1972.91,3641,-222,-42,3863
356,1978.56,3630,-248,-32,3878
357,1984.23,3619,-256,-28,3875
358,1989.90,3608,-270,-31,3878
359,1995.56,3596,-279,-30,3875
360,2001.24,3585,-293,-33,3878
361,2006.92,3573,-292,-28,3865
362,2012.59,3561,-304,-34,3865
363,2018.26,3549,-326,-39,3875
364,2023.94,3537,-329,-33,3866
365,2029.60,3525,-280,-13,3805
366,2035.24,3513,-352,-56,3865
367,2040.92,3500,-366,-40,3866
368,2046.58,3488,-364,-35,3852
369,2052.25,3475,-366,-37,3841
370,2057.92,3462,-319,-17,3781
371,2063.56,3449,-359,-47,3808
372,2069.23,3436,-314,-17,3750
373,2074.88,3422,-356,-48,3778
374,2080.54,3409,-314,-18,3723
375,2086.20,3395,-363,-51,3758
376,2091.86,3382,-314,-16,3696
377,2097.51,3368,-311,-30,3679
378,2103.18,3354,-314,-32,3668
379,2108.85,3340,-316,-32,3656
380,2114.52,3326,-315,-31,3641
381,2120.17,3311,-315,-31,3626
382,2125.81,3297,-313,-30,3610
383,2131.46,3283,-314,-31,3597
384,2137.11,3268,-257,-8,3525
385,2142.70,3254,-266,-29,3520
386,2148.38,3239,-248,-19,3487
387,2154.03,3224,-278,-36,3502
388,2159.67,3209,-341,-53,3550
389,2165.31,3194,-308,-20,3502
390,2170.97,3179,-323,-36,3502
391,2176.62,3164,-337,-37,3501
392,2182.28,3148,-279,-10,3427
393,2187.92,3133,-364,-61,3497
394,2193.57,3118,-428,-62,3546
395,2199.22,3102,-390,-27,3492
396,2204.86,3086,-383,-36,3469
397,2210.52,3071,-416,-51,3487
398,2216.18,3055,-474,-64,3529
399,2221.83,3039,-425,-27,3464
400,2227.48,3024,-360,-16,3384
401,2233.13,3008,-420,-60,3428
402,2238.79,2992,-421,-42,3413
403,2244.45,2976,-428,-44,3404
404,2250.08,2960,-481,-64,3441
405,2255.72,2944,-438,-30,3382
406,2261.38,2928,-441,-45,3369
407,2267.05,2912,-446,-46,3358
408,2272.68,2896,-442,-43,3338
409,2278.33,2880,-439,-43,3319
410,2284.01,2864,-431,-40,3295
411,2289.66,2848,-433,-43,3281
412,2295.32,2832,-428,-41,3260
413,2301.00,2815,-426,-42,3241
414,2306.64,2799,-414,-37,3213
415,2312.31,2783,-409,-39,3192
416,2318.00,2767,-407,-40,3174
417,2323.64,2751,-390,-33,3141
418,2329.32,2735,-292,0,3027
419,2334.96,2719,-373,-61,3092
420,2340.63,2703,-377,-38,3080
421,2346.29,2687,-381,-39,3068
422,2351.94,2672,-369,-33,3041
423,2357.61,2656,-385,-43,3041
424,2363.29,2640,-388,-39,3028
425,2368.96,2624,-389,-39,3013
426,2374.65,2609,-391,-39,3000
427,2380.32,2593,-392,-39,2985
428,2386.00,2578,-393,-39,2971
429,2391.65,2562,-382,-34,2944
430,2397.32,2547,-397,-44,2944
431,2403.01,2532,-399,-40,2931
432,2408.67,2517,-401,-40,2918
433,2414.35,2502,-403,-40,2905
434,2420.03,2487,-407,-41,2894
435,2425.66,2472,-420,-45,2892
436,2431.33,2458,-413,-39,2871
437,2437.00,2443,-337,-10,2780
438,2442.62,2429,-408,-62,2837
439,2448.29,2415,-342,-14,2757
440,2453.94,2401,-329,-29,2730
441,2459.60,2387,-325,-31,2712
442,2465.25,2373,-330,-34,2703
443,2470.93,2359,-335,-35,2694
444,2476.58,2346,-331,-31,2677
445,2482.24,2333,-330,-32,2663
446,2487.91,2320,-330,-33,2650
447,2493.56,2307,-274,-10,2581
448,2499.20,2294,-321,-46,2615
449,2504.84,2282,-326,-34,2608
450,2510.50,2269,-268,-9,2537
451,2516.09,2257,-322,-48,2579
452,2521.73,2246,-344,-41,2590
453,2527.38,2234,-354,-38,2588
454,2533.04,2222,-368,-41,2590
455,2538.66,2211,-331,-22,2542
456,2544.32,2200,-330,-32,2530
457,2549.97,2190,-394,-58,2584
458,2555.61,2179,-346,-20,2525
459,2561.25,2169,-363,-41,2532
460,2566.88,2159,-419,-58,2578
461,2572.52,2149,-424,-43,2573
462,2578.17,2140,-371,-21,2511
463,2583.81,2131,-377,-39,2508
464,2589.47,2122,-384,-40,2506
465,2595.10,2113,-359,-28,2472
466,2600.75,2105,-396,-50,2501
467,2606.40,2096,-368,-28,2464
468,2612.03,2089,-403,-50,2492
469,2617.66,2081,-405,-41,2486
470,2623.31,2074,-406,-40,2480
471,2628.99,2067,-412,-43,2479
472,2634.63,2060,-411,-40,2471
473,2640.31,2054,-413,-41,2467
474,2645.99,2048,-416,-42,2464
475,2651.61,2043,-417,-42,2460
476,2657.30,2037,-413,-40,2450
477,2662.95,2032,-420,-44,2452
478,2668.62,2028,-421,-42,2449
479,2674.26,2023,-429,-45,2452
480,2679.94,2019,-370,-19,2389
481,2685.56,2016,-430,-61,2446
482,2691.23,2013,-422,-39,2435
483,2696.88,2010,-423,-42,2433
484,2702.54,2007,-414,-38,2421
485,2708.20,2005,-412,-40,2417
486,2713.87,2003,-379,-28,2382
487,2719.52,2002,-398,-45,2400
488,2725.17,2001,-370,-28,2371
489,2730.82,2000,-389,-44,2389
490,2736.45,2000,-381,-35,2381
491,2742.09,2000,-378,-36,2378
492,2747.73,2000,-369,-34,2369
493,2753.41,2001,-358,-32,2359
494,2759.06,2002,-362,-37,2364
495,2764.70,2004,-349,-31,2353
496,2770.35,2006,-339,-30,2345
497,2776.01,2008,-313,-23,2321
498,2781.68,2011,-300,-26,2311
499,2787.33,2014,-282,-22,2296
500,2792.99,2017,-272,-24,2289
501,2798.64,2021,-259,-22,2280
502,2804.29,2026,-247,-21,2273
503,2809.95,2030,-248,-25,2278
504,2815.60,2035,-231,-18,2266
505,2821.26,2041,-237,-25,2278
506,2826.93,2047,-219,-16,2266
507,2832.57,2053,-225,-24,2278
508,2838.24,2060,-206,-14,2266
509,2843.89,2067,-212,-23,2279
510,2849.54,2074,-191,-12,2265
511,2855.20,2082,-196,-21,2278
512,2860.86,2091,-175,-11,2266
513,2866.51,2099,-233,-40,2332
514,2872.18,2108,-158,6,2266
515,2877.78,2118,-148,-11,2266
516,2883.44,2128,-138,-10,2266
517,2889.10,2138,-141,-15,2279
518,2894.76,2148,-118,-4,2266
519,2900.37,2159,-108,-7,2267
520,2905.98,2171,-95,-5,2266
521,2911.52,2182,-84,-5,2266
522,2917.08,2194,-72,-3,2266
523,2922.62,2206,-60,-2,2266
524,2928.17,2219,-48,-1,2267
525,2933.73,2232,-32,1,2264
526,2939.28,2245,-21,1,2266
527,2944.82,2259,-7,3,2266
528,2950.31,2272,-1,1,2273
529,2955.80,2287,11,4,2276
530,2961.32,2301,35,10,2266
531,2966.90,2316,50,9,2266
532,2972.42,2331,64,10,2267
533,2977.99,2347,81,13,2266
534,2983.56,2363,97,14,2266
535,2989.13,2379,114,16,2265
536,2994.74,2396,129,17,2267
537,3000.37,2413,140,17,2273
538,3005.99,2430,156,20,2274
539,3011.62,2448,175,23,2273
540,3017.24,2466,192,24,2274
541,3022.86,2484,211,26,2273
542,3028.49,2502,227,27,2275
543,3034.11,2521,248,31,2273
544,3039.73,2540,265,31,2275
545,3045.36,2559,287,35,2272
546,3050.98,2579,303,35,2276
547,3056.61,2598,326,39,2272
548,3062.23,2618,336,36,2282
549,3067.86,2638,355,41,2283
550,3073.49,2659,377,44,2282
551,3079.12,2679,396,45,2283
552,3084.74,2700,410,45,2290
553,3090.36,2721,421,45,2300
554,3096.01,2742,437,48,2305
555,3101.62,2763,442,45,2321
556,3107.24,2784,450,47,2334
557,3112.90,2806,458,48,2348
558,3118.52,2828,470,50,2358
559,3124.20,2850,475,49,2375
560,3129.84,2872,478,48,2394
561,3135.52,2894,477,47,2417
562,3141.17,2916,481,49,2435
563,3146.84,2938,489,51,2449
564,3152.46,2961,501,53,2460
565,3158.12,2983,510,53,2473
566,3163.75,3005,468,34,2537
567,3169.39,3028,474,49,2554
568,3175.02,3050,472,46,2578
569,3180.68,3073,520,66,2553
570,3186.32,3095,513,49,2582
571,3191.96,3118,437,20,2681
572,3197.60,3140,445,46,2695
573,3203.24,3163,444,44,2719
574,3208.89,3185,351,7,2834
575,3214.48,3207,349,34,2858
576,3220.14,3229,435,69,2794
577,3225.76,3252,333,2,2919
578,3231.36,3273,446,78,2827
579,3236.98,3295,337,1,2958
580,3242.58,3317,346,37,2971
581,3248.22,3339,451,76,2888
582,3253.85,3360,442,41,2918
583,3259.51,3382,464,53,2918
584,3265.16,3403,361,5,3042
585,3270.76,3424,371,40,3053
586,3276.36,3445,457,71,2988
587,3282.00,3465,359,6,3106
588,3287.60,3486,359,35,3127
589,3293.22,3506,345,30,3161
590,3298.85,3526,335,30,3191
591,3304.50,3546,336,33,3210
592,3310.12,3565,329,30,3236
593,3315.76,3584,315,27,3269
594,3321.40,3603,313,30,3290
595,3327.02,3622,323,35,3299
596,3332.65,3640,321,31,3319
597,3338.28,3658,324,33,3334
598,3343.90,3676,330,34,3346
599,3349.52,3693,333,34,3360
600,3355.15,3710,339,35,3371
601,3360.82,3726,342,35,3384
602,3366.43,3742,344,35,3398
603,3372.11,3758,331,29,3427
604,3377.73,3774,323,29,3451
605,3383.39,3789,324,32,3465
606,3389.00,3803,313,28,3490
607,3394.63,3817,306,28,3511
608,3400.24,3831,308,31,3523
609,3405.87,3844,311,32,3533
610,3411.50,3856,322,35,3534
611,3417.12,3869,330,35,3539
612,3422.74,3880,334,34,3546
613,3428.37,3892,341,36,3551
614,3434.01,3902,356,40,3546
615,3439.63,3912,349,32,3563
616,3445.26,3922,336,29,3586
617,3450.89,3931,337,34,3594
618,3456.50,3940,331,31,3609
619,3462.13,3948,317,27,3631
620,3467.75,3955,262,9,3693
621,3473.34,3962,309,45,3653
622,3478.96,3969,316,33,3653
623,3484.60,3974,256,7,3718
624,3490.18,3980,236,17,3744
625,3495.80,3984,322,58,3662
626,3501.42,3988,317,30,3671
627,3507.05,3992,322,33,3670
628,3512.69,3994,193,-19,3801
629,3518.32,3997,198,21,3799
630,3523.96,3998,270,48,3728
631,3529.59,3999,273,28,3726
632,3535.22,3999,281,30,3718
633,3540.86,3999,281,28,3718
634,3546.49,3998,280,27,3718
635,3552.14,3997,270,24,3727
636,3557.78,3995,267,25,3728
637,3563.43,3992,266,26,3726
638,3569.07,3988,262,25,3726
639,3574.72,3984,258,24,3726
640,3580.36,3979,253,23,3726
641,3586.00,3974,248,23,3726
642,3591.62,3968,242,22,3726
643,3597.26,3961,235,21,3726
644,3602.90,3954,236,23,3718
645,3608.53,3946,220,17,3726
646,3614.16,3938,211,18,3727
647,3619.80,3929,203,17,3726
648,3625.43,3919,193,16,3726
649,3631.07,3908,182,14,3726
650,3636.70,3897,171,13,3726
651,3642.34,3886,160,12,3726
652,3647.98,3873,146,10,3727
653,3653.62,3861,134,9,3727
654,3659.21,3847,121,8,3726
655,3664.80,3833,106,6,3727
656,3670.38,3819,154,29,3665
657,3676.00,3804,78,-15,3726
658,3681.59,3788,120,24,3668
659,3687.22,3772,46,-17,3726
660,3692.82,3755,90,22,3665
661,3698.41,3738,12,-22,3726
662,3704.01,3720,52,17,3668
663,3709.60,3702,-24,-25,3726
664,3715.20,3683,-105,-34,3788
665,3720.85,3663,-78,0,3741
666,3726.43,3644,-26,13,3670
667,3732.02,3623,-47,-11,3670
668,3737.62,3603,-138,-41,3741
669,3743.28,3581,-160,-22,3741
670,3748.94,3559,-182,-24,3741
671,3754.60,3537,-204,-27,3741
672,3760.25,3514,-274,-48,3788
673,3765.94,3491,-250,-17,3741
674,3771.59,3467,-321,-53,3788
675,3777.22,3444,-297,-22,3741
676,3782.88,3419,-369,-58,3788
677,3788.52,3395,-346,-27,3741
678,3794.18,3370,-356,-38,3726
679,3799.82,3345,-393,-50,3738
680,3805.49,3319,-398,-41,3717
681,3811.16,3294,-419,-48,3713
682,3816.82,3268,-427,-45,3695
683,3822.49,3241,-431,-44,3672
684,3828.13,3215,-426,-41,3641
685,3833.81,3188,-423,-41,3611
686,3839.47,3161,-426,-43,3587
687,3845.13,3134,-434,-45,3568
688,3850.78,3107,-445,-47,3552
689,3856.47,3080,-381,-18,3461
690,3862.12,3052,-415,-51,3467
691,3867.80,3025,-487,-70,3512
692,3873.46,2997,-450,-33,3447
693,3879.11,2970,-509,-68,3479
694,3884.78,2942,-470,-35,3412
695,3890.42,2915,-477,-49,3392
696,3896.08,2887,-489,-52,3376
697,3901.71,2860,-549,-72,3409
698,3907.37,2832,-507,-38,3339
699,3913.02,2805,-443,-25,3248
700,3918.68,2778,-526,-77,3304
701,3924.33,2751,-537,-57,3288
702,3930.01,2724,-549,-58,3273
703,3935.67,2697,-560,-59,3257
704,3941.33,2670,-570,-60,3240
705,3947.00,2644,-579,-60,3223
706,3952.68,2618,-586,-60,3204
707,3958.34,2592,-568,-51,3160
708,3964.00,2566,-561,-54,3127
709,3969.68,2541,-562,-56,3103
710,3975.36,2516,-481,-23,2997
711,3981.04,2491,-550,-75,3041
712,3986.68,2467,-559,-58,3026
713,3992.36,2443,-557,-55,3000
714,3998.05,2420,-566,-59,2986
715,4003.72,2397,-574,-59,2971
716,4009.38,2374,-557,-50,2931
717,4015.06,2352,-564,-58,2916
718,4020.71,2331,-546,-49,2877
719,4026.38,2310,-535,-50,2845
720,4032.06,2289,-515,-45,2804
721,4037.72,2269,-440,-21,2709
722,4043.40,2250,-407,-30,2657
723,4049.07,2231,-360,-21,2591
724,4054.72,2213,-311,-16,2524
725,4060.37,2195,-296,-25,2491
726,4066.02,2179,-293,-28,2472
727,4071.66,2163,-286,-26,2449
728,4077.31,2147,-306,-36,2453
729,4082.99,2132,-309,-31,2441
730,4088.65,2118,-309,-30,2427
731,4094.32,2105,-302,-28,2407
732,4099.98,2092,-303,-30,2395
733,4105.61,2080,-298,-28,2378
734,4111.28,2069,-290,-26,2359
735,4116.92,2059,-280,-25,2339
736,4122.58,2049,-267,-22,2316
737,4128.22,2041,-263,-25,2304
738,4133.88,2033,-255,-23,2288
739,4139.52,2026,-257,-26,2283
740,4145.19,2019,-246,-21,2265
741,4150.84,2014,-243,-23,2257
742,4156.50,2009,-238,-22,2247
743,4162.14,2006,-235,-22,2241
744,4167.80,2003,-227,-20,2230
745,4173.44,2001,-230,-23,2231
746,4179.11,2000,-220,-19,2220
747,4184.78,2000,-222,-22,2222
748,4190.44,2000,-211,-17,2211
749,4196.12,2002,-212,-21,2214
750,4201.78,2004,-198,-15,2202
751,4207.44,2008,-197,-19,2205
752,4213.11,2012,-193,-18,2205
753,4218.78,2017,-177,-12,2194
754,4224.44,2023,-172,-15,2195
755,4230.10,2030,-161,-12,2191
756,4235.75,2038,-156,-14,2194
757,4241.42,2046,-156,-15,2202
758,4247.08,2056,-133,-6,2189
759,4252.68,2066,-125,-10,2191
760,4258.34,2078,-116,-8,2194
761,4263.96,2090,-103,-6,2193
762,4269.57,2103,-93,-6,2196
763,4275.14,2116,-79,-3,2195
764,4280.70,2131,-64,-1,2195
765,4286.26,2146,-50,0,2196
766,4291.82,2162,-31,2,2193
767,4297.36,2179,-2,8,2181
768,4302.86,2196,3,1,2193
769,4308.36,2214,18,6,2196
770,4313.88,2233,52,15,2181
771,4319.46,2253,60,8,2193
772,4324.98,2273,92,18,2181
773,4330.57,2294,101,12,2193
774,4336.19,2316,121,18,2195
775,4341.82,2339,146,22,2193
776,4347.46,2362,166,22,2196
777,4353.09,2386,193,27,2193
778,4358.71,2411,220,30,2191
779,4364.34,2436,233,27,2203
780,4369.97,2462,271,38,2191
781,4375.60,2488,285,32,2203
782,4381.23,2515,324,44,2191
783,4386.88,2543,340,38,2203
784,4392.50,2570,379,49,2191
785,4398.14,2599,407,49,2192
